TDU,Average_Apartment_Plan,Best_Apartment_Plan,Average_House_Plan,Best_House_Plan
AEP TEXAS CENTRAL COMPANY,854,648,1442,1212
AEP TEXAS NORTH COMPANY,853,660,1425,1104
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,841,684,1408,1188
ONCOR ELECTRIC DELIVERY COMPANY,775,606,1301,1116
SHARYLAND UTILITIES LP,995,822,1680,1404
SHARYLAND UTILITIES LP - MCALLEN,837,714,1372,1188
TEXAS-NEW MEXICO POWER COMPANY,822,654,1366,1164
